XGL -> DVU,NVR,IIT,DF,CHH
IEN -> BSR,EMO,IAE,NYS,TTU
MMP -> WFQ,NMK,GBZ,LSF,TJO
ZMZ -> YOZ,UHC,HVY,WFQ,CPO
ID  -> OHK,VPK,JEZ,DOA,YNA
UOY -> CTF,SKQ,KIZ,JBL,BGA
QQJ -> OQB,UTS,XCQ,KSJ,VBU
ARA -> EHK,HWI,QLP,GCB,NLM
ILZ -> IBP,XON,NIB,KGD,OPH
OLB -> YES,TCZ,PZU,OUH,FAS
GJC -> GER,AQR,GEF,SDU,IMJ
DQM -> NRJ,ULD,MRM,TXM,XLG
EMT -> EDU,VJQ,PDH,MDY,UBG
EIG -> IMS,PNN,FUD,SVC,UUS
WIB -> MNK,NEY,UDI,JVN,MZP
WSA -> CDX,HQW,JHX,XHU,IIL
XOK -> VBC,EDB,HGP,CIF,RLF
RS  -> FZK,BHZ,XQW,SDK,YHE
ROS -> DKO,CSM,ZET,OAG,PPJ
DOE -> LBO,ZUV,UVD,BYU,TMG
ZAE -> ZVO,FZM,DDR,WRD,VXU
MNC -> UMD,MOX,PBO,MCP,WGB
LKR -> KYE,EBD,VO,FWM,TDO
LNP -> JNW,QOM,ZOT,KZZ,VSE
RHD -> VYJ,KHR,CDU,GXB,KDX
G   -> QUW,GRB,ITY,CLJ,HTH
XRD -> AOI,ACM,EOS,QJG,NDE
BUW -> ZZA,UUT,MMJ,AYU,PPV
WUD -> YFE,EJU,QRJ,UMX,NKO
KKJ -> DZS,HNF,QTR,OVM,CQW
AWA -> ELK,DB,POY,NRE,VBH
ZVT -> PUH,VER,ZGI,KLJ,CFM
TG  -> VFV,XGN,YNZ,FDC,XQJ
DKG -> AZU,HMZ,ARY,OZY,UCS
GNL -> DLJ,ONA,HHF,RAS,DHC
CR  -> FTN,VDT,RXI,WFP,VZU
FQM -> SJO,RKG,WYU,QTW,LEP
FGQ -> QTL,TXP,UFS,FAL,VIQ
BWR -> QSU,TIC,CYX,AL,DME
WGZ -> OVC,YQA,TMF,SYP,JKL
KME -> RDF,QWF,YTK,DDY,KOT
JYK -> ZQ,LIX,GXQ,IDO,QTO
LJE -> BGT,LES,LCQ,KMS,XUS
WEM -> SPW,KQG,SGN,FJM,SWQ
ODX -> DSA,HM,PHR,RZD,TMU
CQT -> BQR,ZWQ,BVD,MNF,POO
VQS -> TEY,AJA,UVL,QFJ,BHO
IIV -> DST,EOD,VXM,FYQ,ROB
WQF -> FOJ,RWF,QBP,BJG,ZHG
UYA -> IGL,JAA,ZUQ,ITL,TTA
PGU -> LQX,RRC,BAZ,ZPR,CYI
ZBE -> QTW,YNA,EDA,VKB,KJR
LLW -> OOF,QLK,GFW,EXB,CHD
OXM -> BNI,YQA,PUC,KCD,CYM
PLJ -> FCY,XZG,SFS,NPB,XOV
UGA -> UHN,OFP,ORQ,BIJ,THM
MST -> SZV,DGG,XXH,MCP,OAN
HBV -> WVT,HOG,KOR,QEL,QPT
MM  -> CAT,ET,BAB,HRH,HRG
GSH -> IIB,FVL,MEP,GPQ,KWV
LZD -> OPN,UYE,MSD,JJO,SKF
GFQ -> JUO,GZL,ROC,QEV,JUE
PY  -> WYR,AUO,VOE,XNE,NYX
XFB -> MOW,QCQ,PND,UGZ,FZL
NKV -> TLR,EFB,FIK,UZR,DFQ
SJV -> IGZ,ZKA,NMA,DJP,EXN
LLR -> NBT,LOO,WCQ,XZS,EOU
EED -> LGJ,KTT,CLF,OIS,ZVW
RLT -> OQU,LTN,YXL,RNG,IWI
KEC -> OPV,MOF,MFL,UFW,KUP
ITE -> VMH,NES,ZZZ,YIQ,UBW
GQL -> OXD,GJF,WF,TVU,MWB
YXE -> DDZ,OOY,VJC,BJH,YRS
KSG -> TPR,BVM,TIO,LUV,BXB
WTV -> HVI,TWE,INP,BVR,CRD
EKX -> FOA,AET,VIV,CIJ,SWG
PJG -> OPU,TYA,RVR,QQS,KUA
XAI -> DJO,RXO,FY,TFR,BVS
NHL -> LJB,FYV,DYH,XBJ,MON
MRR -> FLS,ZCW,KTX,UZP,LVC
IUW -> TFP,VGO,QIH,BXO,DE
XXO -> RQJ,FQT,LHF,JLT,CRD
VAB -> TBH,NEK,WST,JZA,LWW
GET -> OKA,SYM,WGH,LBC,NYA
ZFF -> JSY,FPS,MER,YRA,TUD
MWG -> YAA,WE,FTF,NQG,JUG
UPY -> RFB,PYS,EZF,GJG,VUJ
IFG -> CHR,VXT,ICF,RMG,PXA
LEV -> ZOD,DKE,YDQ,YOD,HCS
IMM -> LVE,TCJ,KZF,LQW,PFF
RYK -> AIC,JQT,FLT,JBQ,PDB
DCN -> HCB,TGE,GQ,TBV,JFX
DXR -> UFD,FYR,UZM,OLV,JVE
HHE -> FQA,GUZ,SJM,INW,WZZ
JCK -> LPO,LZG,HZA,LFF,KDG
FZT -> WJS,JRI,DUE,ZVG,ZDR
JRQ -> BOT,YJJ,XBP,PAJ,AHD
KYX -> FGK,RRM,JHW,AXS,NSA
FOI -> ADB,CZC,FYL,RJX,KWD
LNR -> MZV,XKS,IWS,CAZ,MGN
NKF -> EXS,YWI,LMT,LR,OVX
UKM -> BFX,TAL,MZH,INU,ZTI
GX  -> ONF,FEV,DWO,CFC,CZM
LLX -> WEN,ZHN,ASC,DWZ,IEJ
CQL -> WUI,ZDB,HGW,EGI,VMR
KKY -> BWP,LUI,XOU,UPE,MGD
OHB -> VY,SQV,YYU,YLO,VAG
EFU -> VXU,GQL,RFE,WCZ,GRM
TFW -> QPW,QZ,SXP,KQP,DIU
TCV -> UNH,OWD,MQY,IFK,SSN
BUN -> HCL,VWS,ZDL,BVF,KSW
EKB -> JQY,XQU,EEE,YNO,PK
NPY -> WFI,LBP,UXU,QHF,FNM
SWH -> WPM,LZC,XEV,ADD,FID
TVB -> BWV,EDD,PKB,UAC,QYD
TQC -> VNT,FCT,EFF,ICD,NS
GNU -> BGX,DTP,ZWO,UPJ,BAF
NMC -> MWL,FGE,JDG,NUL,CHI
YWR -> HRV,PNC,ZML,QQG,GME
ABB -> UAU,BEO,KAU,KHB,LWZ
HZS -> QHI,VEW,XIZ,WBZ,SF
WNX -> UDB,EMM,DQS,EAZ,MAK
PXV -> RT,CTI,YOM,WI,QKG
EVD -> GTF,P,ASA,JEZ,FND
KWV -> BWK,YFA,XVO,YRS,RAX
DEI -> AME,DEB,XUN,HZD,DCB
AVO -> BTJ,DSN,SEI,LRG,MHU
PZW -> MBD,RTE,IRB,AWW,OQG
ADR -> MGJ,OXZ,YVJ,RHZ,POJ
LEB -> WDZ,NRG,LVD,UCR,GLI
HGA -> TMJ,PKK,KZU,CKY,AGE
CIY -> CKR,BWS,RDL,VAL,OQN
KUJ -> YHO,QFQ,LCM,TQQ,PXW
RFB -> XLN,WKZ,FWN,JKH,ESB
XVV -> WLN,CZV,ZCJ,KFA,AAN
OEU -> JG,VHA,GKE,QAB,GKG
IDD -> FI,YKV,OWE,XNB,KPP
ONP -> DQQ,JXI,DXS,OLN,XFH
HEZ -> GAM,XHG,FIJ,FUC,XCL
WQD -> IZA,WRU,FRJ,ZVA,WFI
QUW -> J,XKC,MTL,OVC,VYR
PBT -> GEK,EGU,CVO,YFX,ACM
QNR -> YDJ,NWS,SSO,XVA,CRZ
FCR -> MZQ,WBD,HQR,YLA,KKF
MEI -> CRO,QIJ,EOF,TIX,YPX
CJC -> RFF,NGN,OSZ,SET,ZNV
UYZ -> KFA,ROY,MFC,AWQ,WZK
AMI -> MAR,JOJ,NET,FTA,WEX
WYU -> BNY,ZSW,TZM,OFM,DSZ
ADL -> RNL,KOV,COG,CRV,LOM
QNC -> JKS,YGU,HLV,HJV,YAD
RHK -> HBP,CNF,COW,ASX,QQP
ZVM -> ZSC,JGV,GRV,XAJ,ZG
ASP -> UBX,PVB,LGH,WYG,IVT
BAO -> EMJ,DDL,CX,FXQ,HVL
RDS -> PRL,WUW,ZBW,SOD,VJW
CKH -> CDY,ZMP,AGP,RW,CEH
IVY -> KRL,QGL,IMV,NIR,YTB
IAX -> PEV,CHW,SRF,SRW,QYL
ZBU -> GOK,QXS,JXF,XNB,WEY
ORV -> BHK,HNA,SUK,KFN,PXF
FAP -> OHV,XMK,HND,OIA,UAF
MJF -> LGQ,TDP,VDG,RSC,UFJ
PPN -> QMC,ZCB,MMP,QPM,WMJ
SVL -> JEO,YTA,FGE,WQL,KWO
XTD -> HBK,DUX,QOM,ICF,UOJ
KNI -> QNM,VRO,VCW,WYX,NBD
XOQ -> IZQ,BBK,GUI,SIR,WNB
OLH -> BRQ,GBO,DFW,SCH,GGW
YTE -> MFV,WB,YHX,OFG,YHV
LIT -> PQA,NYO,HQA,TNP,VFG
MBF -> KJ,SJS,DLA,GJR,NNV
GIV -> UVA,FJN,ICZ,EYL,JAV
QPG -> CQP,ETW,WPS,ZGO,VID
IEB -> FMK,JBY,DPK,HXQ,AZE
DNY -> IHN,JVK,YDO,CHA,EXO
MAN -> DMM,IKV,GPW,DZN,KXZ
WXU -> HQH,URK,BRX,GUI,QGU
GWM -> FEQ,NHE,RSN,VJC,GGA
TLH -> QOC,XTJ,XVJ,HT,SSZ
LBN -> FHE,UEF,WJD,JRZ,PEZ
VGS -> LDL,LVA,MVR,CDX,DYW
TEL -> GY,INO,TBS,QGE,UPM
DSC -> TPO,JBZ,HWA,UIP,KOW
NPO -> NCH,EKD,BON,YPL,OFB
ACL -> SEV,EQD,GRZ,YHS,CWP
TXM -> LXM,FQH,VLM,NSV,FMQ
EWD -> QBY,QDR,ZXU,ARK,MHT
CIF -> MPY,ZTB,PGQ,VTS,CSS
YMR -> AGN,XBD,YNB,XRS,INH
BBC -> GYF,EEZ,DCK,LUX,LWR
FYE -> OZA,UDU,OJL,NAR,MRJ
SBJ -> NYG,JHL,DGW,TAZ,DVU
VYG -> KZM,SKZ,WBW,MIU,IBX
BRX -> ETH,AAC,WFD,MAP,QER
RT  -> LAW,DCA,DMX,FPA,VLU
MWL -> SNH,ZYF,YL,DWM,ZDP
DTP -> GPW,MJB,LCA,ZG,HOG
MZT -> ISR,WOV,ILV,RPU,TCR
BPX -> AOX,TPY,VJM,OEB,ZPG
DJK -> NEH,EE,GKT,IGD,ZEI
NSO -> SBI,DIO,ZXA,SYL,AR
VSE -> RLT,AMZ,FJI,VLC,RAZ
XQS -> KGN,FCQ,ZI,IZC,MIY
XJS -> JOR,KDZ,RSJ,TDQ,WDL
HDU -> MKU,XRA,BD,CNB,FV
ADA -> FSA,PSG,NSN,JTF,PEQ
KKM -> BKW,EXV,LGS,OXS,SXC
WFI -> EPD,VAN,RJU,LNR,HOZ
KVK -> SMV,HCF,FAF,XTS,ONT
EJC -> CKD,LUD,OGT,PDK,UVU
PJR -> OML,MPT,LEC,SBL,RZI
TUE -> SAA,XJV,ZWX,ERR,SZD
LLY -> CKQ,PTS,FOS,OJQ,VYI
DHG -> DSD,XQF,SUI,LPD,JOF
SPO -> ZEF,OSL,KHT,UNQ,KDF
QEK -> FNP,ILP,JMN,BGT,JCK
HUB -> BIT,DVU,TKR,RIZ,DUJ
RCK -> PZM,EM,RYN,UHJ,GXI
PNC -> AQT,WIT,AX,RUZ,WZA
UOU -> LVU,EBO,OHP,BA,JPQ
HQI -> EPZ,NVJ,FJL,GKN,KAT
YMN -> UDD,IXF,XGH,TJN,NWB
QAE -> KNB,IVM,BXE,XBK,NBV
OPA -> UWO,ZSR,AJO,EXM,AZM
FJM -> TKG,GTZ,IGJ,VDW,MUJ
MTT -> APY,ZII,CYD,YMD,QID
ZPH -> EID,CDF,CXM,ALF,YPV
TZB -> JFG,BUB,MYI,PLO,CJD
MDF -> XQT,VYC,JIH,NOM,YJY
LLD -> XDI,INB,NEW,ILN,ZRV
KQV -> FKL,BBX,LDF,DPD,AFO
DWL -> WIQ,UXU,RRH,TBV,EEM
OJL -> GYA,DZL,GHU,EQF,XII
URY -> AOX,XQX,QDL,BAS,VEH
TVW -> SXX,HGY,VGQ,ZWR,MFK
TJX -> CSY,EXQ,YPO,SL,YNW
UAX -> JUC,ARQ,ROX,KFO,FJP
ICV -> KFZ,AUQ,DFL,KAD,YMO
SQU -> QOW,PXA,UWX,MCN,ZJB
HQJ -> AGE,HDD,HFV,KHF,TLI
LSE -> KTX,WF,WUW,RHE,QUQ
HUL -> XGR,UGG,WLM,JTQ,N
UZE -> WHH,IUL,YSS,QRP,YRN
FLS -> QLU,ESQ,LKA,DPN,IDS
UFQ -> JXZ,LAO,UHH,BO,IIU
SOW -> SGM,KPL,TSY,YYA,JMV
UGV -> MLF,KKM,RDY,UWK,ALA
RJT -> SAW,RCT,ARA,BRF,TDE
PXQ -> DTR,TUF,XOQ,GRQ,MQN
GJM -> XKP,WAS,VHF,NBL,UA
ZDI -> ESP,OSM,RMC,SUQ,HLP
YNH -> FYH,HCY,TDT,OIR,JHL
SFY -> JVZ,FYX,FZN,AOJ,IZS
KSU -> PVO,VLV,HQJ,GPH,SIZ
UXO -> RGF,RHZ,ZXJ,CQB,ZSZ
LEJ -> RAZ,JBF,LEC,TCR,BEC
OJH -> XFZ,ZNX,GSZ,WGL,IWC
LSZ -> HFM,TZS,UKD,CKQ,WXQ
LSU -> KFB,ETV,IR,DWH,LWM
XRS -> XKS,YAX,YPU,XAR,FMR
VI  -> VAA,IWW,BKD,GBS,TNJ
KNH -> DIL,VXN,IWG,LIQ,QUE
ZJS -> QEN,HIQ,TPP,VXA,NFY
TTC -> JIL,VBQ,VCI,XXX,KET
UXG -> SOX,XQL,IWV,CF,UIS
FJB -> JSZ,EFG,OTY,GPX,OSR
YYO -> MYA,PSD,FLO,EIP,BCZ
RTF -> ORN,RBA,IHP,RPO,YDX
DZE -> MOT,MIN,NNI,PDR,CDJ
LTB -> MDT,IHN,AUD,BZP,FJI
OFK -> OHB,THW,SLH,NSD,VZX
WTX -> HQC,LVM,MSK,QXV,ZBK
NYS -> XUP,LCS,KUR,JB,HFL
OAD -> WFN,XZN,KKC,ZUF,NVV
VUW -> ROH,PLD,QJS,ISZ,NBF
ZZS -> CPG,CMH,GZU,QGN,ZVF
MLW -> WXL,RSB,RAX,MUF,ZNS
HUF -> KWM,WWC,VKI,LCA,TS
FQZ -> ZM,FFL,TXZ,EHC,FGZ
NBE -> MBZ,DFS,GPV,GNC,YNA
YCB -> KCU,DVI,ZGU,MWI,YZW
JBY -> GP,WTM,LAM,OZJ,UAA
OKJ -> JFD,NVM,ADN,LPR,PNZ
WCM -> ZKJ,ONI,SAM,QZP,STQ
KVM -> SZV,UYK,YOS,EHP,IDK
MII -> KXS,CHZ,LJA,UAI,QUX
PKV -> DOE,XQH,SUH,NOT,AFS
RMG -> ZVS,YDV,AJX,CLF,YLN
HEX -> BBP,SFS,HER,VOL,ETS
JHU -> KXP,FZK,TCS,KHI,OJE
YXH -> MBB,CBW,KUE,TDE,QLL
MGG -> EWZ,RKA,ZOE,XEN,RCL
LRJ -> EXZ,NFK,TJU,INV,XSC
RKM -> XZD,ETR,ALA,TRD,HWV
CFY -> EVB,LKI,POQ,TWL,ARC
DTI -> SSV,CYT,EZL,WCS,XZH
GLS -> QHK,SBM,DGY,LOW,EMF
IW  -> NMA,SRL,PVN,WQF,YV
DZV -> FMS,RPQ,VDS,DJD,POC
NWH -> RD,ADO,ZSD,YHC,POZ
OV  -> DQZ,EHM,DLX,IVP,XCE
IFQ -> TTK,IYR,LVQ,IQW,WY
JAN -> LZR,RGA,LUN,CLC,VGB
XCJ -> JWH,AMY,GLL,NIH,QHH
PZJ -> TON,FEU,HUP,CUU,YQD
JZZ -> LVV,IRJ,NWD,FGC,CAN
RJK -> VEC,IGE,KOL,MPI,EIA
IYK -> XEG,WNC,XBB,UWV,OJJ
NCR -> OJN,GXQ,DG,QOB,MEO
OI  -> BOL,JJS,JJE,ARG,KUM
JQC -> KXU,LPY,DRI,AJZ,NDZ
EGJ -> AOA,BVF,QDX,OPK,UE
ZRM -> OAJ,OEI,TBA,PCQ,NFL
WNN -> HKL,GRY,MBH,KDT,LKU
UER -> HIX,KBZ,NHR,VPG,BYO
XSV -> UYN,UCJ,GTJ,VOW,SQY
WXP -> CMI,WKG,NYF,HJL,DHC
UMV -> RTE,GFL,AYU,AJG,XJB
YZU -> OUB,LNX,QWR,ZRW,CVF
AA  -> GQM,TJC,FSU,RFZ,FYK
YJI -> WVV,SEB,XQA,EBY,FIF
ADY -> VKY,XLF,GNO,GCZ,RGP
IFJ -> IPX,UOM,RXO,PTQ,NNC
OLX -> NSE,SPL,QVW,VZS,PDW
JGB -> RUW,TXL,ENW,ZTO,YTS
III -> PRP,OHN,UBX,OXV,IMD
YVM -> RZU,RTW,AHK,YTS,GU
LEH -> PDL,IFB,AIQ,BIE,JQM
AQS -> TTM,PIR,TWO,EGV,OFU
BHD -> QX,WXG,EUC,GJO,EDO
XAD -> VKI,CVP,RHR,CSK,IGL
WLF -> UWB,BRU,RFO,WIJ,QHA
NAB -> XQX,VBV,UTL,YWJ,RZE
BUC -> OWI,XD,THZ,OJQ,YDV
RXK -> UWD,VLL,KWW,API,PDB
GIC -> ATA,PJN,KZR,DOG,EVW
WTQ -> QKU,YCQ,KBL,TKX,JHA
AVK -> BWB,OW,YPZ,ARA,SOV
EWM -> FGZ,WXM,WKS,JQJ,EFY
HAD -> UJP,WBT,BKG,JTX,OFW
ZYT -> HAM,UCX,RIF,XZO,NLY
NQB -> NEU,STU,QKY,XRZ,TFD
TIH -> QAZ,VDB,CYJ,KXQ,CPP
JXE -> KMJ,DWH,WLR,MV,FXH
ROI -> VXT,QYH,MBT,UFM,YAD
QCC -> WKR,DYG,UQN,PUB,JWH
RMU -> ECQ,JDL,QMX,GNK,AFE
KBO -> SII,WIU,USV,YUK,VDZ
PUU -> MBT,GRP,DYK,NVJ,NHO
CXZ -> BQY,IBZ,CTU,LFS,YA
RHT -> JFR,HQB,GPC,PYZ,VWY
MXT -> CSF,QIP,VGH,DSQ,LU
UEC -> JWC,TS,RMH,SVV,WGJ
YMQ -> GAH,VCA,BWP,CX,NWX
SQQ -> KGQ,LAX,HJE,CAY,PSY
EXP -> UMG,GJV,LKG,DHK,CAV
MYC -> WCM,OUJ,LCM,IQ,QHN
VYL -> FSR,YR,TRD,SBB,MCQ
SGC -> KXU,DWZ,KZG,OG,LGT
LNN -> GST,LCW,LIV,EMQ,FTS
XIP -> TPJ,OG,KAX,NJC,QBT
ITL -> FRW,LG,AEA,BUZ,SXQ
GEY -> NFX,TRH,LDY,PRI,CYD
VBQ -> XMR,SKW,NVB,HIB,SDG
IWS -> BBP,ZVE,TMX,EJD,BCP
VHW -> IMP,SFG,NJB,HQY,MCT
FRG -> FCO,SLH,XN,RHA,UXD
UUX -> FJS,VZN,XIS,LYX,JFF
XNW -> JXY,ISA,NHI,TLB,GWX
IQO -> KHU,TFL,CBG,LKX,KQ
JNC -> GYI,PDQ,NUM,DUB,DJP
AOF -> XLD,FSR,SHL,VGR,VUO
ONZ -> JDK,FAU,LWN,TBP,DLS
RB  -> IDY,PZH,JRD,ZCH,FSX
KWY -> QJG,ZKP,IOE,TKF,IKS
TBC -> PZV,CWL,RXF,JH,RAX
LPJ -> DDH,JKW,GOO,XKR,MVZ
RVB -> VC,VPG,OXU,BAN,WTD
JYR -> BKX,UPA,QWP,FHK,ARR
AQW -> WWE,VMD,UMM,SSN,PQP
WCF -> MV,RYB,VUA,KCY,KHD
GXY -> CTF,AME,KVB,ESM,CQV
VAY -> PLW,WQL,BGT,FF,GYD
NJZ -> NGF,TGI,XQ,USQ,FHB
EBG -> KOC,BJE,GMT,YFO,RYB
BIT -> GLO,FUV,OXK,XLQ,CUE
JTC -> BEG,FNZ,XVU,CZA,MXO
ZQA -> GOU,VBM,ZDX,NUG,JBE
LMQ -> MFC,GWK,UGU,CXV,YYL
MMO -> BEO,GHS,RYU,HLH,IKG
INQ -> OPD,NWO,XZF,MXB,YEZ
YEL -> XZF,ICV,RRG,NDD,YKF
ZOY -> GQJ,ALL,DQV,GXF,HFC
CWT -> PSV,BVR,CEN,XZD,FBO
YQG -> VZV,CCN,JRG,JUF,TOA
SMV -> PVH,SVD,YFY,CHV,OPC
GPJ -> LEV,DI,BTT,UPX,XOK
OIO -> MQR,BUP,JOV,HLT,WEL
AED -> AIX,BGR,AON,VEC,CJM
HZA -> XIW,QOI,YBM,AYN,ZUL
GOW -> BJS,LMT,GVH,SKJ,FKR
HID -> RJD,ZXJ,C,CYY,CSS
CTU -> JWM,FHZ,KGG,UDD,FDZ
JXC -> BCI,BZH,RZQ,PDN,ZJF
CLW -> BVQ,ITT,AVK,BGM,KPX
FE  -> HMO,ME,LHC,OFM,RPX
KMF -> OMF,BQK,COS,IAP,ZYX
GBR -> ZMT,QSF,TLV,EPE,TQC
BGZ -> XIN,UYC,RHH,UET,TRE
WXO -> QEH,AUQ,TRA,ZHS,JAR
WKX -> EWJ,MAU,YYI,OFX,QWR
NWM -> TJX,FQV,ZGO,LKQ,IMP
PMY -> TDL,PRM,WWA,JFT,ZGD
MMD -> JDO,YWW,YHK,DXW,QR
HDT -> ADC,USX,OOM,PI,XQX
AXW -> IJD,XIJ,EYB,BWT,BGP
ZMI -> NZA,MTF,FAH,AXT,IY
EAF -> EBR,GWM,NCQ,FZG,RIT
BWO -> LII,FIE,RTQ,YDB,YPV
NKI -> VUT,HTR,PEH,PFU,GGJ
LZJ -> WRZ,NLW,RKE,RNM,ZWH
VLK -> SDJ,NWS,KIJ,STJ,NVB
ZTY -> CTE,UZJ,XIX,SQB,ASR
KKC -> NJA,QSJ,GWK,RVT,SOK
YPS -> FJF,LNM,TSH,IRA,XVW
IOM -> VT,YNO,ELR,OIB,KZD
IRM -> LFQ,FFU,JQL,HCL,XZU
HDH -> KFB,YE,PHQ,UCE,XTG
OAF -> PGY,PP,HEA,FSE,ACM
HQB -> LF,GLW,IWI,TWT,UIY
VII -> PDY,BXE,PO,XGR,RGE
NNI -> CMJ,SWO,BKV,BSS,QKQ
GZV -> HVQ,VVB,SND,DGY,LWB
OEB -> RIP,CLJ,HYP,IJF,COT
JCB -> SQO,NQG,HOK,JHC,FZD
AVB -> PFT,QQ,YSM,LJN,TUB
XMH -> VVK,JBV,DIG,OJL,NLY
SSQ -> GKD,UJH,QXL,HGU,PIR
YDJ -> XMY,BFG,PEQ,CCN,YYT
EIX -> GTV,LUQ,KRP,BTZ,WAZ
QJY -> MHV,VQZ,TAJ,ECI,XUM
JIQ -> TGW,KWU,FPW,INZ,GTE
ZLG -> PCS,NEP,ZRE,BYA,WCT
FMF -> AIG,OHC,KAJ,VTN,JGG
NOG -> NGA,AXP,UYW,XSN,JGF
DSV -> KP,PZW,MOO,XYB,JUU
CWR -> GZH,SNN,ZNG,TLX,RAZ
HAQ -> CPO,UPS,FPE,KRB,CFH
CRH -> EHG,ELJ,MYD,ECS,KVZ
JNH -> BKM,GLV,AIV,BAJ,DMU
ICW -> GDF,SZF,KZK,QQW,DZC
WSJ -> RMK,CLN,MK,XNZ,TTD
QRS -> BDA,AGI,EUJ,BXR,SVR
FHC -> UIC,CRS,FOT,UCY,VMA
Y   -> YPW,URD,DEL,LPH,DTN
BRV -> PUW,RMQ,QCU,UWW,VRZ
DAV -> TYW,CHE,CG,SVA,FZB
YDG -> NZZ,AIK,QLR,YFT,KTE
CYW -> MKX,BXB,VXU,AGI,ZMQ
OQX -> MFC,JZS,BNE,VWZ,ONX
NVG -> SED,DHJ,OQG,KGR,LDQ
CWD -> MMH,UEE,RYZ,RCX,AVL
ES  -> PTD,BTX,BXH,FYO,XRR
DJU -> HDE,LVK,WZX,JRV,UYH
SEC -> ENP,VOU,ATM,WKM,YRE
EUV -> CMI,CZS,KPE,XCI,FOQ
AAZ -> JDF,LMW,UHN,UFW,MCR
KGX -> ZXH,ZKQ,TSA,ZXZ,YFI
YUA -> TDR,NXV,QKF,OBR,EJE
FPC -> KCC,HNP,XCI,PHN,FOR
KIG -> PNN,ETV,ULV,LGT,WNR
YTS -> CSQ,XWO,RMS,QXH,ICC
TJE -> QYW,LFP,EDV,RMN,UAJ
GDH -> VB,TAS,SIH,TIO,MEB
WKC -> OFK,RLN,TOG,PRA,VJM
UYX -> SMV,BPK,UEO,SKJ,XOW
GAM -> EYT,PYT,YMZ,XOF,KHU
VFK -> VGV,ZXD,AIB,XIX,ANM
LFX -> GVZ,GRK,BMG,FFL,UEQ
TM  -> FO,PZD,CYZ,XVD,WZV
OPI -> JGN,HSA,BXM,YXS,FIU
VWC -> RHL,IBE,Q,OHA,CKP
IHB -> LQV,ZFX,NNS,CIA,HUU
TQH -> HFD,APM,IKA,BNH,CQF
ZSH -> EJB,EDH,DMR,ZMT,GYV
WM  -> KLJ,BZA,QQJ,ZTU,GEM
OSB -> JSG,C,VJJ,DUL,OTV
GVW -> UEQ,GOL,KFP,CP,SNF
DMQ -> XTB,ZRX,JHE,CYA,COB
CAE -> RFI,SPU,YII,MCV,CHR
FFB -> CYK,BIV,NVL,XNT,ZBF
USJ -> XCS,VWS,GM,XPH,SQG
XYF -> GPE,EDC,VJB,BKQ,PEA
LJC -> MUP,SZV,BIK,JJV,TAB
VOX -> RJV,RUL,QHM,OKL,LBF
WCH -> CJN,TYJ,XTP,TCN,TSU
KND -> KUR,HIN,EWY,SJL,OOS
FZD -> JBV,LFX,OVD,CBF,RNF
AGJ -> MQR,LMH,YHH,CEP,DKM
DVW -> GVH,THO,JLC,CDD,WUY
KKI -> DJS,BWH,PLN,DYH,DHC
CPJ -> AMQ,POB,QGF,DET,HNZ
AWM -> KUK,ZFC,YMB,XKO,SDL
GLY -> VZZ,AUD,NJN,QMV,CRS
APQ -> CAK,TZT,HOY,AHO,GH
QVA -> QZP,IMG,EEM,TPV,ZKN
IUO -> JBL,CPQ,GIF,YBV,EMC
QUD -> WWP,OZT,YOX,DLJ,JNJ
